name1,name2,value
美容师,松江区,7750.0
美容师,虹口区,7400.0
美容师,宝山区,7300.0
美容师,嘉定区,7666.666666666667
美容师,静安区,8666.666666666666
美容师,崇明区,8000.0
美容师,金山区,8000.0
美容师,奉贤区,8000.0
医美,上海,9425.882352941177
医美,青浦区,10000.0
医美,杨浦区,10000.0
医美,徐汇区,8294.117647058823
医美,浦东新区,6180.0
医美,长宁区,6573.076923076923
医美,黄浦区,7641.666666666667
医美,普陀区,9793.333333333334
医美,闵行区,6122.222222222223
医美,松江区,8000.0
医美,虹口区,5000.0
医美,宝山区,0.0
医美,嘉定区,43214.28571428572
医美,静安区,15394.736842105263
医美,崇明区,0.0
医美,金山区,0.0
医美,奉贤区,0.0
导游,上海,5500.0
导游,青浦区,0.0
导游,杨浦区,0.0
导游,徐汇区,0.0
导游,浦东新区,6000.0
导游,长宁区,7000.0
导游,黄浦区,0.0
导游,普陀区,5000.0
导游,闵行区,5666.666666666667
导游,松江区,0.0
导游,虹口区,0.0
导游,宝山区,0.0
导游,嘉定区,4000.0
导游,静安区,7000.0
导游,崇明区,6000.0
导游,金山区,0.0
导游,奉贤区,8000.0
旅游计调,上海,5750.0
旅游计调,青浦区,0.0
旅游计调,杨浦区,0.0
旅游计调,徐汇区,5000.0
旅游计调,浦东新区,0.0
旅游计调,长宁区,0.0
旅游计调,黄浦区,1000.0
旅游计调,普陀区,0.0
旅游计调,闵行区,5000.0
旅游计调,松江区,0.0
旅游计调,虹口区,0.0
旅游计调,宝山区,6000.0
旅游计调,嘉定区,0.0
旅游计调,静安区,4000.0
旅游计调,崇明区,6000.0
旅游计调,金山区,0.0
旅游计调,奉贤区,0.0
旅游销售,上海,7484.523809523809
旅游销售,青浦区,7500.0
旅游销售,杨浦区,6166.666666666667
旅游销售,徐汇区,6812.5
旅游销售,浦东新区,6041.025641025641
旅游销售,长宁区,4166.666666666667
旅游销售,黄浦区,6666.666666666667
旅游销售,普陀区,6300.0
旅游销售,闵行区,8541.666666666666
旅游销售,松江区,9800.0
旅游销售,虹口区,3566.6666666666665
旅游销售,宝山区,5660.0
旅游销售,嘉定区,5160.0
旅游销售,静安区,8800.0
旅游销售,崇明区,0.0
旅游销售,金山区,0.0
旅游销售,奉贤区,5000.0
收银员,上海,4485.714285714285
收银员,青浦区,4727.272727272727
收银员,杨浦区,4836.065573770492
收银员,徐汇区,4816.666666666667
收银员,浦东新区,4757.668711656442
收银员,长宁区,5041.666666666667
收银员,黄浦区,4812.5
收银员,普陀区,4910.25641025641
收银员,闵行区,4938.271604938272
收银员,松江区,4571.428571428572
收银员,虹口区,5029.411764705882
收银员,宝山区,5000.0
收银员,嘉定区,4636.363636363636
收银员,静安区,5054.545454545455
收银员,崇明区,0.0
收银员,金山区,0.0
收银员,奉贤区,4533.333333333333
收银,上海,4579.591836734694
收银,青浦区,4727.272727272727
收银,杨浦区,4820.0
收银,徐汇区,4819.444444444444
收银,浦东新区,5012.690355329949
收银,长宁区,5072.727272727273
